DATASET	SEGMENT	TOKENS
aaleykusunda	ɐ	251
aaleykusunda	g	193
aaleykusunda	i	172
aaleykusunda	aː	155
aaleykusunda	u	153
aaleykusunda	n	130
aaleykusunda	j	116
aaleykusunda	ə	113
aaleykusunda	m	110
aaleykusunda	ŋ	109
aaleykusunda	ɔː	96
aaleykusunda	k	94
aaleykusunda	ɔ	79
aaleykusunda	s	77
aaleykusunda	iː	75
aaleykusunda	b	73
aaleykusunda	a	70
aaleykusunda	t̪	69
aaleykusunda	h	67
aaleykusunda	l	67
aaleykusunda	w	64
aaleykusunda	r	58
aaleykusunda	q	56
aaleykusunda	p	51
aaleykusunda	d̪	44
aaleykusunda	dz	34
aaleykusunda	uː	34
aaleykusunda	eː	33
aaleykusunda	kʰ	33
aaleykusunda	o	32
aaleykusunda	t	32
aaleykusunda	d	30
aaleykusunda	e	30
aaleykusunda	ɛ	24
aaleykusunda	dʒ	21
aaleykusunda	ts	18
aaleykusunda	pʰ	16
aaleykusunda	tsʰ	15
aaleykusunda	ɛː	12
aaleykusunda	gʰ	11
aaleykusunda	ɴ	9
aaleykusunda	χ	8
aaleykusunda	ãː	5
aaleykusunda	ɢ	5
aaleykusunda	mʲ	4
aaleykusunda	nʲ	4
aaleykusunda	pʲ	4
aaleykusunda	tʃ	4
aaleykusunda	bʲ	3
aaleykusunda	dzʰ	3
aaleykusunda	d̪ʰ	3
aaleykusunda	hʲ	3
aaleykusunda	oː	3
aaleykusunda	qʰ	3
aaleykusunda	ɐ̃	3
aaleykusunda	ɐ̰	3
aaleykusunda	ɦ	3
aaleykusunda	bʰ	2
aaleykusunda	dʒʰ	2
aaleykusunda	dʰ	2
aaleykusunda	kʲ	2
aaleykusunda	kʲʰ	2
aaleykusunda	pʰʲ	2
aaleykusunda	tʃʰ	2
aaleykusunda	ɐ̃ː	2
aaleykusunda	ɔ̃ː	2
aaleykusunda	ɔ̰	2
aaleykusunda	a̰	1
aaleykusunda	a̰ː	1
aaleykusunda	dʒʲ	1
aaleykusunda	z	1
aaleykusunda	ĩː	1
aaleykusunda	ũː	1
aaleykusunda	ɐː	1
aaleykusunda	ɛ̰	1
abrahammonpa	a	5428
abrahammonpa	i	3066
abrahammonpa	u	2811
abrahammonpa	ŋ	2377
abrahammonpa	o	2317
abrahammonpa	m	2029
abrahammonpa	n	1860
abrahammonpa	e	1603
abrahammonpa	l	1188
abrahammonpa	ə	1044
abrahammonpa	k	1016
abrahammonpa	b	975
abrahammonpa	tʃ	926
abrahammonpa	s	872
abrahammonpa	r	869
abrahammonpa	p	826
abrahammonpa	g	792
abrahammonpa	j	791
abrahammonpa	kʰ	697
abrahammonpa	t	604
abrahammonpa	dʒ	570
abrahammonpa	d	536
abrahammonpa	ʃ	496
abrahammonpa	ʔ	416
abrahammonpa	h	407
abrahammonpa	tʰ	399
abrahammonpa	ɾ	388
abrahammonpa	pʰ	377
abrahammonpa	z	303
abrahammonpa	ɲ	249
abrahammonpa	tʃʰ	230
abrahammonpa	w	219
abrahammonpa	y	143
abrahammonpa	ă	139
abrahammonpa	v	119
abrahammonpa	d̪	112
abrahammonpa	ə̆	109
abrahammonpa	t̪	101
abrahammonpa	h̥	71
abrahammonpa	ŭ	64
abrahammonpa	õ	59
abrahammonpa	f	56
abrahammonpa	x	43
abrahammonpa	ĭ	42
abrahammonpa	ɕ	40
abrahammonpa	ĕ	38
abrahammonpa	ts	24
abrahammonpa	ʒ	23
abrahammonpa	t̪ʰ	19
abrahammonpa	ũ	19
abrahammonpa	æ	14
abrahammonpa	ɸ	13
abrahammonpa	iː	11
abrahammonpa	oː	11
abrahammonpa	bʱ	10
abrahammonpa	ã	9
abrahammonpa	ŏ	9
abrahammonpa	ɹ	9
abrahammonpa	aː	8
abrahammonpa	əː	8
abrahammonpa	ɬ	8
abrahammonpa	ʋ	8
abrahammonpa	ẽ	8
abrahammonpa	lː	7
abrahammonpa	ə̃	7
abrahammonpa	ĩ	6
abrahammonpa	n̪	4
abrahammonpa	sʷ	3
abrahammonpa	ɛ	3
abrahammonpa	dʱ	2
abrahammonpa	kʷ	2
abrahammonpa	mː	2
abrahammonpa	m̥	2
abrahammonpa	nː	2
abrahammonpa	pː	2
abrahammonpa	t̪ː	2
abrahammonpa	y̆	2
abrahammonpa	ŋʷ	2
abrahammonpa	ɾ̥	2
abrahammonpa	ʃʰ	2
abrahammonpa	ʔʷ	2
abrahammonpa	dʷ	1
abrahammonpa	d̪ʱ	1
abrahammonpa	gʱ	1
abrahammonpa	hʷ	1
abrahammonpa	h̩/h	1
abrahammonpa	kː	1
abrahammonpa	l̪	1
abrahammonpa	tʃː	1
abrahammonpa	tː	1
abrahammonpa	uː	1
abrahammonpa	yː	1
abrahammonpa	õː	1
abrahammonpa	ɔ	1
abrahammonpa	ɨ̃	1
abvdphilippines	a	44200
abvdphilippines	i	17339
abvdphilippines	u	15940
abvdphilippines	n	15921
abvdphilippines	m	14642
abvdphilippines	t	12870
abvdphilippines	l	10835
abvdphilippines	o	10601
abvdphilippines	k	10194
abvdphilippines	ʔ	10121
abvdphilippines	g	8799
abvdphilippines	s	7679
abvdphilippines	b	7183
abvdphilippines	p	6510
abvdphilippines	d	5977
abvdphilippines	y/j	4858
abvdphilippines	r	4436
abvdphilippines	e	4173
abvdphilippines	h	3934
abvdphilippines	á/a	3570
abvdphilippines	w	3535
abvdphilippines	ə	2699
abvdphilippines	ɨ	2685
abvdphilippines	ŋ	2474
abvdphilippines	ú/u	1495
abvdphilippines	q	1393
abvdphilippines	v	1319
abvdphilippines	í/i	1317
abvdphilippines	ó/o	1011
abvdphilippines	c/ts	986
abvdphilippines	aː	924
abvdphilippines	z	607
abvdphilippines	f	604
abvdphilippines	ʌ	470
abvdphilippines	ɬ	454
abvdphilippines	x	399
abvdphilippines	c	372
abvdphilippines	ə́/ə	296
abvdphilippines	j/dʒ	290
abvdphilippines	ð	277
abvdphilippines	iː	271
abvdphilippines	uː	271
abvdphilippines	ɭ	264
abvdphilippines	ʟ	262
abvdphilippines	β	246
abvdphilippines	ˀn	226
abvdphilippines	ɣ	222
abvdphilippines	ˀl	219
abvdphilippines	ˀt	211
abvdphilippines	ts	192
abvdphilippines	oː	188
abvdphilippines	ey/ei	186
abvdphilippines	ˀb	180
abvdphilippines	ɔ	169
abvdphilippines	ˀk	169
abvdphilippines	æ	166
abvdphilippines	ɖ	166
abvdphilippines	nː	164
abvdphilippines	ˀd	161
abvdphilippines	ˀp	161
abvdphilippines	é/e	160
abvdphilippines	tː	156
abvdphilippines	lː	155
abvdphilippines	gː	154
abvdphilippines	ǥ/g	154
abvdphilippines	â/a	153
abvdphilippines	ʡ	148
abvdphilippines	ˀs	143
abvdphilippines	ʈ	138
abvdphilippines	ˀm	134
abvdphilippines	dː	124
abvdphilippines	ā/a	123
abvdphilippines	kː	116
abvdphilippines	ʃ	113
abvdphilippines	sː	112
abvdphilippines	ä/æ	94
abvdphilippines	pː	93
abvdphilippines	sʰ	93
abvdphilippines	mː	92
abvdphilippines	ch/tsʰ	91
abvdphilippines	ˀw	87
abvdphilippines	ˀg	86
abvdphilippines	ʀ	85
abvdphilippines	bː	84
abvdphilippines	ô/o	84
abvdphilippines	θ	83
abvdphilippines	'y/ˀj	79
abvdphilippines	áː/aː	79
abvdphilippines	ê/e	73
abvdphilippines	ɦ	68
abvdphilippines	à/a	63
abvdphilippines	ʉ	63
abvdphilippines	gʱ	61
abvdphilippines	ˀh	61
abvdphilippines	eː	59
abvdphilippines	œ	56
abvdphilippines	nʰ	54
abvdphilippines	mʰ	53
abvdphilippines	cʰ	51
abvdphilippines	lʰ	49
abvdphilippines	ĕ/e	49
abvdphilippines	l̩/l	45
abvdphilippines	ò/o	43
abvdphilippines	ʐ	43
